layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt
sb_pf_flux,staggered_levels:9:0.380:3,27,-0.027210088942993253,-0.22944796056178157,-10.075097369576802,11.595833825365215,0.5185185185185185,-0.04536936818545388,-0.23000000000000798
sb_hs_flux,five_point,27,0.28772230162739226,0.054620318172705636,-12.220565064776462,11.71579904159127,0.4444444444444444,-0.5096628557245528,-0.5966666666666676
ctrl_radial_expand_015,staggered_levels:9:0.380:2,27,0.24624892634668868,0.07878598663958998,-10.041423326329996,10.992913995259343,0.3333333333333333,-0.17108374447247848,-0.4149999999999987
deform_0893,staggered_levels:9:0.380:3,27,0.13587250350135557,0.08584069424875868,-17.98773236057406,15.02469138023094,0.48148148148148145,-0.29738757920831216,-0.1083333333333325
deform_0893,staggered_levels:9:0.380:1,27,0.3463153735170377,0.16744461093375232,-12.269890562596519,11.115077303239094,0.37037037037037035,-0.17057304304542645,-0.26166666666667115
sb_hy_energy,five_point,27,-0.18668488940823458,0.17125767783089146,-17.5624321094893,14.983106084524247,0.5555555555555556,0.1597205115873492,0.7616666666666716
deform_1387,five_point,27,-0.022931459752147762,0.21742984545840308,-12.803409140197711,15.337821724871848,0.5555555555555556,-0.3264583616945644,-0.12666666666666382
sb_pf_flux,staggered_levels:9:0.380:0,27,0.2667217874229679,0.3700752656864696,-18.15604893150292,21.462086128212462,0.4444444444444444,-0.31486495073531967,-0.45166666666666133
sb_pf_flux,five_point,27,0.3069269738770026,0.46118171852750467,-12.577181876700031,15.473868808453497,0.48148148148148145,-0.9635186447591614,-0.495000000000001
ctrl_radial_expand_015,staggered_levels:9:0.380:1,27,0.19577711448258753,0.5895165411428271,-11.752920537149947,10.606944608780683,0.4074074074074074,-0.28661075445578726,-0.484999999999991
ctrl_radial_expand_015,staggered_levels:9:0.380:3,27,0.15407758768209964,0.5920453128620141,-9.244259243771618,11.243224595765072,0.4444444444444444,-0.5893042428711988,-0.33333333333332993
joint_g02_0333,visible_equator,27,-0.2623316014433813,0.750366590004793,-8.860727644415293,17.395366430363584,0.5185185185185185,-0.009712380152534424,0.15333333333333865
joint_g04_0478,staggered_levels:9:0.380:8,27,0.3883666910013054,0.8302416756782285,-9.089005729619812,10.40466138564996,0.37037037037037035,-0.41310883006673804,-0.6833333333333358
sb_hy_energy,staggered_levels:9:0.380:0,27,0.2957234723332901,0.885037357389903,-9.821422285541779,10.4997979306187,0.4444444444444444,0.11347076564316377,0.8516666666666617
ctrl_radial_expand_015,visible_equator,27,0.4122365430804088,0.9602209160921276,-8.525970380362262,13.136926220602257,0.4444444444444444,-0.8691869296325268,-0.5666666666666598
deform_1387,staggered_levels:9:0.380:1,27,0.5632208131188666,0.9652472676687762,-16.718155958131263,11.107576020163501,0.4444444444444444,0.5220546463378426,-0.09166666666665657
deform_1387,staggered_levels:9:0.380:3,27,-0.16387443792876608,1.2021705982335065,-9.818475414863283,21.047970368631848,0.5925925925925926,-0.0010740078289673794,0.010000000000010001
deform_0893,staggered_levels:9:0.380:8,27,0.08855340694575446,1.3294513311834,-9.586326152049692,14.166470310848116,0.48148148148148145,-0.3358147690682974,-0.09500000000000064
joint_g04_0478,staggered_levels:9:0.380:2,27,0.38110562850079754,1.3860306027493692,-12.722286336064297,11.143683147942564,0.3333333333333333,-0.2410341060496624,-0.5499999999999949
deform_0893,staggered_levels:9:0.380:0,27,0.2280390167589565,1.4528255509184154,-10.06656283251048,20.801547040689446,0.4444444444444444,-0.0645851327963479,-0.12499999999999734
joint_g02_0333,staggered_levels:9:0.380:3,27,-0.020828921392307947,1.625259723920726,-9.24074276488139,10.967644419097518,0.5185185185185185,0.34950608284579643,0.21333333333333204
