sector_center_rad,sector_center_deg,heliostat_count,count_share,baseline_sector_count,baseline_sector_share,layout_id,label,delta_sector_count,delta_sector_share_pctpt
-1.1344640137963142,-65.0,364,0.030549727234578262,352,0.029542593369702056,deform_0893,L_nom,12,0.10071338648762057
-0.9599310885968813,-55.0,360,0.030214015946286196,367,0.030801510700797313,deform_0893,L_nom,-7,-0.05874947545111177
-0.7853981633974483,-45.0,377,0.03164078892152749,378,0.0317247167436005,deform_0893,L_nom,-1,-0.008392782207301136
-0.6108652381980153,-35.0,376,0.03155686109945447,395,0.0331514897188418,deform_0893,L_nom,-19,-0.1594628619387327
-0.43633231299858233,-24.999999999999996,383,0.03214435585396559,383,0.03214435585396559,deform_0893,L_nom,0,0.0
-0.2617993877991496,-15.000000000000009,385,0.03231221149811162,395,0.0331514897188418,deform_0893,L_nom,-10,-0.0839278220730176
-0.0872664625997166,-5.000000000000007,377,0.03164078892152749,372,0.0312211498111624,deform_0893,L_nom,5,0.0419639110365088
0.08726646259971638,4.999999999999995,393,0.03298363407469576,409,0.03432647922786404,deform_0893,L_nom,-16,-0.1342845153168279
0.26179938779914935,14.999999999999996,382,0.032060428031892574,395,0.0331514897188418,deform_0893,L_nom,-13,-0.1091061686949224
0.43633231299858233,24.999999999999996,394,0.03306756189676878,383,0.03214435585396559,deform_0893,L_nom,11,0.09232060428031874
0.6108652381980153,35.0,375,0.03147293327738145,392,0.03289970625262274,deform_0893,L_nom,-17,-0.14267729752412903
0.7853981633974483,45.0,375,0.03147293327738145,376,0.03155686109945447,deform_0893,L_nom,-1,-0.00839278220730183
0.959931088596881,54.999999999999986,365,0.03063365505665128,366,0.0307175828787243,deform_0893,L_nom,-1,-0.00839278220730183
1.1344640137963138,64.99999999999997,361,0.03029794376835921,350,0.029374737725556023,deform_0893,L_nom,11,0.09232060428031874
1.308996938995747,74.99999999999999,357,0.02996223248006714,346,0.029039026437263953,deform_0893,L_nom,11,0.09232060428031874
