layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id,baseline_peak_to_active_mean,baseline_active_flux_cv,baseline_receiver_intercept_per_requested_ray,baseline_total_receiver_power_proxy_w,delta_peak_to_active_mean_pct_vs_baseline_same_strategy,delta_active_cv_pct_vs_baseline_same_strategy,delta_receiver_intercept_pctpt_vs_baseline_same_strategy,matrix
deform_0893,five_point,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116635,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.638122797012329,38688.0,0.6448,2030143.7552542496,752375.9172134034,2.6983103908659816,0.2684342419066497,7854220160.327643,d20_h10,2.414252368529452,0.2673319471238524,0.6457166666666667,7908245866.764011,11.76587941009466,0.4123318573244251,-0.0916666666666676,V8
deform_0893,staggered_levels:9:0.380:0,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116562,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.388306856155396,39181.0,0.6530166666666667,2018975.8990009225,761659.7619990018,2.6507582515611063,0.2732769557266301,7910549469.875515,d20_h10,2.9171638564634668,0.280159898661572,0.6600666666666667,8067846982.446531,-9.132349707134004,-2.456790913983151,-0.7050000000000001,V8
deform_0893,staggered_levels:9:0.380:1,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116629,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.118476390838623,39201.0,0.65335,2239915.534166765,769619.1552473626,2.9104207176948917,0.2801662349640842,7982448077.715576,d20_h10,2.931932287732705,0.2765785673385931,0.6533833333333333,8030854077.84881,-0.7336994148131696,1.297160390992634,-0.0033333333333329,V8
deform_0893,staggered_levels:9:0.380:2,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116512,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.053602933883667,39255.0,0.65425,2022833.3809558556,755566.0996592477,2.677242112725984,0.2741236938373319,7940632436.942209,d20_h10,2.661966209924172,0.275746062678493,0.6534,7992216395.976637,0.5738578778671667,-0.5883561220791307,0.0850000000000017,V8
deform_0893,staggered_levels:9:0.380:3,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116546,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.5876381397247314,39149.0,0.6524833333333333,1822644.0007330244,757047.5613046344,2.40756868378524,0.2722820773161062,7928298887.188574,d20_h10,2.657991739574544,0.2719383826652083,0.6540166666666667,8081005150.232348,-9.42151369625356,0.1263869585195811,-0.1533333333333386,V8
deform_0893,staggered_levels:9:0.380:4,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116572,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.88585638999939,39226.0,0.6537666666666667,2854030.7494405904,763232.7911015316,3.739397445596547,0.2789716900190906,7996586441.254043,d20_h10,2.9328398384925984,0.2741737806051311,0.6527166666666666,8026424313.870571,27.50090872737523,1.7499519477646692,0.1050000000000106,V8
deform_0893,staggered_levels:9:0.380:5,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116593,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.310734748840332,39126.0,0.6521,2023704.9216604976,759186.6994105041,2.665622202327663,0.2704985688071631,7917947876.488861,d20_h10,2.6690724405239243,0.2754657649473701,0.65275,7981166543.792139,-0.1292673118899548,-1.8031990803488724,-0.0650000000000039,V8
deform_0893,staggered_levels:9:0.380:6,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116462,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.953049182891846,39270.0,0.6545,2232026.104858114,765511.1248369041,2.915733073550901,0.2767126280921358,7968333194.343468,d20_h10,2.946175385572691,0.2743228171697829,0.6523833333333333,7989306709.428369,-1.0332824098274966,0.8711673884836985,0.2116666666666655,V8
deform_0893,staggered_levels:9:0.380:7,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116608,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.4062042236328125,39357.0,0.65595,2434369.1887754337,762736.9338245766,3.1916235871374745,0.2752022322317656,7984122346.886227,d20_h10,2.6434220299733475,0.2835680363810979,0.6576166666666666,7994827573.239295,20.73832898977748,-2.950192925866009,-0.1666666666666594,V8
deform_0893,staggered_levels:9:0.380:8,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,aa7ed509af861c1660ba598a78a35da6688ec1466641225359e6b4791dd59864,11915,6000,60000,116463,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.868163347244263,39462.0,0.6577,2037164.91666439,763031.990546553,2.6698289742808647,0.2763241682139549,8039060194.141016,d20_h10,2.666783862178079,0.2680427836464999,0.6583,8104604515.920971,0.1141866855418433,3.089575647138715,-0.0600000000000044,V8
