layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt,matrix
deform_0276,five_point,27,0.3946699092537042,5.976496794086911,-8.570046818112347,21.491973613911533,0.4444444444444444,1.335431894800704,1.3249999999999984,V8
deform_1387,five_point,27,-5.652895205922393,-3.414244651915336,-14.052004002868491,6.7303717456752405,0.5555555555555556,0.181282049859943,0.0238888888888899,V9
deform_0893,staggered_levels:9:0.380:1,27,-6.736606709345681,-3.0409839147296056,-13.170989367156803,8.049529714794149,0.5555555555555556,-0.3862958492246225,-0.2316666666666633,V9
deform_1822,five_point,27,-0.2767292801776886,-2.373042578075766,-13.848408719584484,10.860353160893297,0.5555555555555556,-0.0809087898542479,0.0033333333333329,V9
deform_0893,staggered_levels:9:0.380:2,27,-0.2205793526962815,-2.0357310757967046,-12.612232843952798,8.09711707842644,0.5555555555555556,-0.1044048438049816,-0.1816666666666688,V9
deform_1822,staggered_levels:9:0.380:2,27,-0.1400264952368472,-1.0170179891669118,-12.905413423752275,10.85065317758434,0.5555555555555556,-0.0761831047547678,-0.0633333333333263,V9
deform_0893,five_point,27,0.0431325099592701,-0.6345926328905486,-12.185299921740263,8.127484304396047,0.4074074074074074,-0.3434729592123817,-0.1488888888888873,V9
deform_1822,visible_equator,27,-0.0791814094534755,-0.579048241548476,-10.7235534889422,8.732484901558038,0.5185185185185185,-0.2768899533257025,-0.0372222222222218,V9
deform_1387,staggered_levels:9:0.380:0,27,-0.0930055397009528,-0.5659008480081027,-9.737763294206797,10.50954008404531,0.5555555555555556,0.4315875596948,-0.1266666666666638,V9
deform_1822,staggered_levels:9:0.380:1,27,0.0014303938348082,-0.5589164452131687,-7.344567228561618,7.634602367909216,0.4814814814814814,-0.0352711786548424,-0.0922222222222268,V9
deform_0276,staggered_levels:9:0.380:1,27,-0.6727101100838383,-0.3984350745631397,-9.52240821744471,7.3527917341594415,0.6666666666666666,0.9097155306920204,1.1694444444444452,V9
deform_0893,visible_equator,27,0.0316985809709018,-0.2982166390555844,-11.23085314367478,6.836601570657885,0.4814814814814814,-0.2156414745813815,-0.1544444444444459,V9
deform_1387,staggered_levels:9:0.380:1,27,0.0668415237986831,0.1029397397194504,-13.136620231498636,9.45247170299687,0.4814814814814814,-0.3984388217655252,0.0022222222222256,V9
deform_0276,visible_equator,27,-0.8828965461055457,0.3777000656476832,-9.22102253895089,8.525784642522275,0.5555555555555556,1.2296461553647864,1.247777777777781,V9
deform_0893,staggered_levels:9:0.380:0,27,0.1897789899742192,0.6711985397701299,-9.885272312912996,10.390648890233765,0.3703703703703703,-0.3039584776383048,-0.1816666666666577,V9
deform_1387,visible_equator,27,0.0891251836091326,0.7646013473905396,-11.450876885791702,9.27461238758702,0.4814814814814814,0.3907704371234241,0.031111111111115,V9
deform_1822,staggered_levels:9:0.380:0,27,0.2610422840113935,0.9740558320086176,-7.0020221779870315,7.831365982625706,0.3703703703703703,0.297442018513086,-0.0477777777777799,V9
deform_0276,five_point,27,-0.2024476997307335,1.602369271570416,-7.917906428151739,10.57099466184082,0.5555555555555556,1.3743547157777032,1.1772222222222184,V9
deform_0276,staggered_levels:9:0.380:0,27,6.364424574858582,1.7843414856605893,-13.405500549319882,7.258309462830937,0.4444444444444444,1.001892606441189,1.1222222222222245,V9
