layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id,baseline_peak_to_active_mean,baseline_active_flux_cv,baseline_receiver_intercept_per_requested_ray,baseline_total_receiver_power_proxy_w,delta_peak_to_active_mean_pct_vs_baseline_same_strategy,delta_active_cv_pct_vs_baseline_same_strategy,delta_receiver_intercept_pctpt_vs_baseline_same_strategy
deform_0893,visible_equator,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,d6c76e92c5a6fb43c2b38e9cb1d713c3e186defb2069b738712e68a9856b5fcb,11915,9000,240000,466844,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,13.44874620437622,172934.0,0.7205583333333333,2754304.5458335523,1063740.8989820664,2.5892626188099466,0.2876447963259084,26461827907.176647,d266_h10,2.873145413557486,0.2887135624831043,0.7204583333333333,26429611890.52525,-9.880557851613924,-0.37018217918268614,0.009999999999998899
deform_0893,five_point,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,d6c76e92c5a6fb43c2b38e9cb1d713c3e186defb2069b738712e68a9856b5fcb,11915,9000,240000,466568,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,10.714239835739136,155689.0,0.6487041666666666,2591832.546718579,959456.7772631516,2.701354149701017,0.2370151564313955,23736459845.062878,d266_h10,2.5431660480877856,0.2362440521371821,0.6506541666666666,23892478673.02363,6.220124782342613,0.32640156957925603,-0.19500000000000073
deform_0893,staggered_levels:9:0.380:0,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,d6c76e92c5a6fb43c2b38e9cb1d713c3e186defb2069b738712e68a9856b5fcb,11915,9000,240000,466669,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,12.301326274871826,158845.0,0.6618541666666666,2755254.658626024,975199.8678773716,2.8253230433912333,0.2442168858329649,24314357013.858376,d266_h10,2.678979239705026,0.2414569668937435,0.6637416666666667,24350614558.024025,5.46267031551617,1.143027254391022,-0.1887500000000042
deform_0893,staggered_levels:9:0.380:1,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,d6c76e92c5a6fb43c2b38e9cb1d713c3e186defb2069b738712e68a9856b5fcb,11915,9000,240000,466764,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,10.819262742996216,158490.0,0.660375,2281697.998314944,966268.4551887852,2.361349981014496,0.2417362433421468,24108421050.1957,d266_h10,2.977013918177985,0.2449272206953407,0.6617083333333333,24275312792.976143,-20.6805864562532,-1.302826751610057,-0.13333333333332975
deform_0893,staggered_levels:9:0.380:2,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,d6c76e92c5a6fb43c2b38e9cb1d713c3e186defb2069b738712e68a9856b5fcb,11915,9000,240000,466679,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,14.375879049301147,158112.0,0.6588,2600459.262703364,970282.6477324156,2.680104883644707,0.2410999458573962,24186106761.444366,d266_h10,2.503495418840917,0.2456179774798952,0.6625791666666667,24270574967.011997,7.054515198016914,-1.8394547780480854,-0.3779166666666667
deform_1387,visible_equator,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,52ddb36baed2b3e7341d120ad51db2008a6b58dc5fb9af5bc630bef78ae466b2,11915,9000,240000,466513,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,9.772140979766846,173611.0,0.7233791666666667,2902105.13169428,1069382.1520325132,2.713814819312643,0.2904731749414937,26517756527.29345,d266_h10,2.873145413557486,0.2887135624831043,0.7204583333333333,26429611890.52525,-5.545510975289013,0.6094665048831494,0.29208333333333725
deform_1387,five_point,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,52ddb36baed2b3e7341d120ad51db2008a6b58dc5fb9af5bc630bef78ae466b2,11915,9000,240000,466686,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,11.803295850753784,156611.0,0.6525458333333334,2445332.5563519085,961744.6088519084,2.542600742281308,0.2391644557155481,23935373561.4268,d266_h10,2.5431660480877856,0.2362440521371821,0.6506541666666666,23892478673.02363,-0.02222842692094195,1.2361807850595803,0.1891666666666736
deform_1387,staggered_levels:9:0.380:0,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,52ddb36baed2b3e7341d120ad51db2008a6b58dc5fb9af5bc630bef78ae466b2,11915,9000,240000,466666,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,10.583611726760864,159469.0,0.6644541666666667,2758451.194721766,973384.2090583594,2.833877074490719,0.244064685189765,24438191865.0603,d266_h10,2.678979239705026,0.2414569668937435,0.6637416666666667,24350614558.024025,5.781972196348502,1.0799929815937284,0.07125000000000048
deform_1387,staggered_levels:9:0.380:1,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,52ddb36baed2b3e7341d120ad51db2008a6b58dc5fb9af5bc630bef78ae466b2,11915,9000,240000,466606,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,10.6114821434021,159106.0,0.6629416666666667,3056792.038894222,975714.508607418,3.1328754588850054,0.245913161638878,24317697707.015213,d266_h10,2.977013918177985,0.2449272206953407,0.6617083333333333,24275312792.976143,5.235499228112842,0.40254445411916207,0.12333333333333085
deform_1387,staggered_levels:9:0.380:2,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,52ddb36baed2b3e7341d120ad51db2008a6b58dc5fb9af5bc630bef78ae466b2,11915,9000,240000,466647,266,10.0,0.4999224904682813,-0.5707885749951332,0.6513661843993871,11.484533786773682,158717.0,0.6613208333333334,2600386.0556232813,973657.6368972784,2.6707396492157582,0.2423634571034592,24277969034.727077,d266_h10,2.503495418840917,0.2456179774798952,0.6625791666666667,24270574967.011997,6.680428856237847,-1.3250334563569963,-0.12583333333333613
