candidate_id,heliostat_count,annual_energy_proxy_gwh,energy_ratio_vs_baseline,capex_proxy_musd,lcoe_proxy_cent_kwh,flux_risk_index,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,terrain_slope_mean_pct,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,ellipse_axis_ratio,extent_x_ratio,extent_y_ratio,is_publishable_geometry,x_scale,y_scale,radial_scale,radial_wave,twist,az_wave,petal_amp,petal_order,petal_phase,petal_twist,north_bias
deform_0873,11915,447.5383955549814,0.9985179462099871,843.673874456818,15.26356634102238,0.9944908556097827,17.303055747819727,36.30766142045036,1.2766580333355122,1.0078072185794194,1.0,1.0,1.0,1.0384149434396406,1.0,1.0,1,0.9940939810784646,1.0233844915012529,0.010976211519948861,0.005017986672752918,-0.030797714799107503,0.012106731064935098,0.011412550670981802,4.0,1.88087156091503,-0.008363397884432057,-0.002719037561044366
deform_0874,11915,447.3501075352754,0.9980978504850168,843.6625053195413,15.269784945559142,0.9846929744421282,17.373545585890433,36.02343298853316,1.2774977665669816,1.0089747681612447,1.0,1.0,1.0,1.0082295927284979,1.0,1.0,1,1.0287313164377747,1.0004243989214368,0.010257752028875411,0.011261914718307689,-0.01906180622896651,0.007572439194291559,0.0,0.0,0.0,0.0,-0.00418351813424154
deform_0875,11915,448.38061647215363,1.0003970535867455,843.621568,15.233951304994047,1.0106816707746968,16.380573987662785,34.48109141371242,1.2777121232141393,1.00931957130936,0.952695337708442,1.0,1.0,1.0500381460039832,0.952695337708442,0.9941422884270374,1,0.9665713547898893,1.0163828005317006,-0.017024123288203713,-0.0026796853586534414,-0.012081890564409305,0.007853193096849953,0.0,0.0,0.0,0.0,-0.008296224201035983
deform_0876,11915,447.69127397500347,0.9988590383877678,843.6572501003242,15.258053449406225,1.0182097918714414,17.145623245729197,35.89205250810346,1.2767900138699986,1.008415541943445,1.0,1.0,1.0,1.0176535793956059,1.0,1.0,1,0.9994357064847416,1.0189324994523101,0.00248981001272704,-0.004788062559262746,-0.011946165850324417,-0.014257678228972575,0.01960342931986316,8.0,-1.0905413178269412,-0.010094772839428005,-0.00195924828461334
deform_0877,11915,447.20837237866465,0.9977816204165123,843.6755104123408,15.274859905523309,0.9965189913288239,17.769804391419964,36.34856030851938,1.2759970215135434,1.0082414802295432,1.0,1.0,1.0,1.021353998462636,1.0,1.0,1,1.0340550318629629,1.0322301935503417,0.004506075411818494,-0.014410143836156967,-0.008122207587653356,0.009012073504134938,0.0,0.0,0.0,0.0,-0.007137110483919905
deform_0878,11915,448.18426013067784,0.9999589563580762,843.6276153984774,15.240734781345154,0.988565982662782,17.049124387350396,35.15118496193395,1.2759240551984532,1.0096905874886115,0.9927532705728748,1.0,1.0,1.0009310605685502,0.9980394966314795,0.9927532705728748,1,0.982752956993428,0.9865046434247576,0.010857967581569643,-0.004429174646792969,-0.01575401311049259,0.0031887814855273526,0.013251201704522073,6.0,-0.5563108793517153,0.005621861756779711,0.007011932035658822
deform_0879,11915,446.99926604866033,0.9973150762601914,843.6568341549842,15.281667193132844,0.9806008789157843,17.16214816171417,35.88165387460435,1.2769595574355495,1.0100464145092822,0.995285317711007,1.0,1.0,1.0551869395790645,1.0,0.995285317711007,1,1.0299321732939217,0.9796119325378309,0.02022393998604506,-0.004311735849203371,0.01568418347757796,0.019795653047479916,0.0,0.0,0.0,0.0,0.004188139990760974
deform_0880,11915,448.0800502007956,0.9997264500833204,843.6247364134862,15.244227294407125,1.0074813497573185,16.733398071215905,35.07921033715252,1.2770458630381787,1.008305865442199,0.9653400242724287,1.0,1.0,1.0541950081288345,0.9653400242724287,1.0,1,0.9763912583828916,1.0085522818358297,-0.00012057394536321708,0.006185881687960776,0.0290322110425551,-0.01988915013664923,-0.003584124827388506,4.0,-0.2453247797152831,-0.00363225443931668,-0.010753812260805034
deform_0881,11915,448.78447791220765,1.0012981224105189,843.621568,15.22024226242562,0.989968558707315,16.52446573394299,33.77735055459175,1.2791864778849478,1.010871476363001,0.9540473913080787,1.0,1.0,1.0185012450575863,0.9777820965169752,0.9540473913080787,1,0.9738610947860813,0.9752663475104072,-0.009571531557155212,-0.014495122744062864,-0.004621025576685232,0.014076925788882495,0.0,0.0,0.0,0.0,0.003761696118758564
deform_0882,11915,448.290213783895,1.0001953531125327,843.621568,15.237023400053067,0.9873756491313017,16.433298358684702,33.978117173792725,1.2775365736561803,1.0108925638318893,0.9445751358557782,1.0,1.0,1.0592781084285117,1.0,0.9445751358557782,1,1.0208762116465118,0.9828473278370459,-0.02425254428592888,-0.017951471400711058,0.010799279943840917,-0.00665401226596111,0.0,0.0,0.0,0.0,-0.0025281478416188663
