count,mean_radius_m,median_radius_m,p05_radius_m,p95_radius_m,min_radius_m,max_radius_m,x_span_m,y_span_m,axis_ratio_x_over_y,mean_z_m,z_range_m,sector_coverage_frac,min_sector_count,annular_coverage_frac,min_annular_count,replicate
11895.0,1020.5446260966032,1012.3916005701549,296.9354007649273,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2579490624722727,35.19410000000016,1.0,241.0,1.0,352.0,40.0
11895.0,1020.393862341081,1012.3916176114853,296.93540351403027,1785.9183740229557,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2566036836059093,35.19410000000016,1.0,242.0,1.0,348.0,41.0
11895.0,1020.347780323339,1012.3916005701549,296.93540351403027,1785.9185694101511,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2591677793862956,35.19410000000016,1.0,242.0,1.0,352.0,42.0
11895.0,1020.3689905121879,1012.3916005701549,296.93540351403027,1785.9185694101511,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2563892423474625,35.19410000000016,1.0,241.0,1.0,351.0,43.0
11895.0,1020.9382259931566,1012.3916187686463,296.9354111856651,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2623813437798677,35.19410000000016,1.0,242.0,1.0,351.0,44.0
11895.0,1020.574936260816,1012.3916176114853,296.93540351403027,1785.9185694101511,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.260039400720405,35.19410000000016,1.0,242.0,1.0,350.0,45.0
11895.0,1020.7254177216261,1012.3916176114853,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2579939040346613,35.19410000000016,1.0,242.0,1.0,352.0,46.0
11895.0,1020.5538268200107,1012.3916005701549,296.93540888417465,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2598834388101006,35.19410000000016,1.0,240.0,1.0,352.0,47.0
11895.0,1020.5914641937748,1012.3916140753043,296.93540351403027,1785.9185694101511,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.255313607329517,35.19410000000016,1.0,242.0,1.0,352.0,48.0
11895.0,1020.352999971485,1012.3916005701549,296.93540351403027,1785.9185694101511,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.256891629161573,35.049423076923176,1.0,242.0,1.0,350.0,49.0
11895.0,1020.7797807369396,1012.3916176114853,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2587679568040864,35.19410000000016,1.0,242.0,1.0,352.0,50.0
11895.0,1020.6300372089091,1012.3916176114853,296.9354007649273,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.253563652474536,35.19410000000016,1.0,241.0,1.0,352.0,51.0
11895.0,1020.842967427008,1012.3916176114853,296.93540888417465,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.260997620722345,35.19410000000016,1.0,242.0,1.0,352.0,52.0
11895.0,1020.4520112119972,1012.3916005701549,296.93540351403027,1785.9185694101511,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.260689332915575,35.19410000000016,1.0,242.0,1.0,351.0,53.0
11895.0,1020.9799132972339,1012.3916187686463,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2594600324079277,35.19410000000016,1.0,242.0,1.0,351.0,54.0
11895.0,1020.2085762937957,1012.3916001310955,296.9354007649273,1785.9185694101511,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.250441601580495,35.19410000000016,1.0,242.0,1.0,351.0,55.0
11895.0,1020.7410022600054,1012.3916140753043,296.9354007649273,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.263835441687845,35.19410000000016,1.0,239.0,1.0,352.0,56.0
11895.0,1020.6195428731228,1012.3916140753043,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.254820575810133,35.19410000000016,1.0,242.0,1.0,352.0,57.0
11895.0,1020.7099584712616,1012.3916176114853,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.258029833093413,35.19410000000016,1.0,242.0,1.0,351.0,58.0
11895.0,1020.7999050022408,1012.3916176114853,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2615286988094536,35.19410000000016,1.0,241.0,1.0,352.0,59.0
11895.0,1020.4242028006998,1012.3916001310955,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2549935607229923,35.19410000000016,1.0,242.0,1.0,351.0,60.0
11895.0,1020.7974550035091,1012.3916187686463,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2538785506217858,35.19410000000016,1.0,242.0,1.0,352.0,61.0
11895.0,1020.6736826936974,1012.3916140753043,296.9354007649273,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.264185152555372,35.19410000000016,1.0,239.0,1.0,352.0,62.0
11895.0,1020.4152619392021,1012.3916005701549,296.9354007649273,1785.918487087022,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2572554717909905,35.19410000000016,1.0,241.0,1.0,349.0,63.0
11895.0,1020.5636532660122,1012.3916005701549,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2597480772166705,35.19410000000016,1.0,240.0,1.0,352.0,64.0
11895.0,1020.7780102847629,1012.3916187686463,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2576378010825477,35.19410000000016,1.0,242.0,1.0,352.0,65.0
11895.0,1020.676164606189,1012.3916176114853,296.93540888417465,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2602882364303025,35.19410000000016,1.0,242.0,1.0,352.0,66.0
11895.0,1020.7337633881281,1012.3916176114853,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2588112816011887,35.19410000000016,1.0,241.0,1.0,352.0,67.0
11895.0,1020.4228239693904,1012.3916005701549,296.9354111856651,1785.9185694101511,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.254757333756264,35.19410000000016,1.0,241.0,1.0,351.0,68.0
