year,weather_file,interpolation_method,layout_id,annual_dni_kwh_m2,positive_dni_hours,annual_dni_weighted_eta,annual_thermal_proxy_mwh,opteff_table_mean,baseline_annual_thermal_proxy_mwh,baseline_annual_dni_weighted_eta,delta_annual_thermal_proxy_pct,delta_annual_dni_weighted_eta_pct,annual_rank
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_pf_energy,2012.398,4254,0.3658663837512817,1012524.1568690347,0.35962572490643774,1005575.494422693,0.3633555478527955,0.6910135027038411,0.6910135027038189,6.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_pf_flux,2012.398,4254,0.36023813255269205,996948.1418193076,0.35435264625146085,1005575.494422693,0.3633555478527955,-0.8579517551129734,-0.8579517551129845,14.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_ta_energy,2012.398,4254,0.3673247662577874,1016560.1863687988,0.361002083088576,1005575.494422693,0.3633555478527955,1.0923786435758531,1.092378643575831,3.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw3,sb_ta_flux,2012.398,4254,0.3643823345981741,1008417.0957007037,0.35827741108725925,1005575.494422693,0.3633555478527955,0.2825845790565884,0.2825845790565884,8.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,baseline_full,2012.398,4254,0.36470164326486976,1009300.7727830639,0.35728608332420614,1009300.7727830639,0.36470164326486976,0.0,0.0,10.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,ctrl_radial_expand_015,2012.398,4254,0.3612713292478608,999807.4824395895,0.35409984406718314,1009300.7727830639,0.36470164326486976,-0.9405809050653469,-0.940580905065358,15.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,deform_0276,2012.398,4254,0.3769316959659694,1043147.0739181335,0.368531810689137,1009300.7727830639,0.36470164326486976,3.353440525141105,3.353440525141105,1.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,deform_0893,2012.398,4254,0.36560645176821266,1011804.8029636501,0.3581512584642348,1009300.7727830639,0.36470164326486976,0.24809553783273763,0.24809553783275984,9.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,deform_1387,2012.398,4254,0.367397951511992,1016762.7243474154,0.3598089438890156,1009300.7727830639,0.36470164326486976,0.739318919153864,0.739318919153864,5.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,joint_g02_0333,2012.398,4254,0.3682413097252337,1019096.6927077926,0.3605554104209499,1009300.7727830639,0.36470164326486976,0.9705649880478395,0.9705649880478395,4.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,joint_g04_0478,2012.398,4254,0.3620165603279384,1001869.886925324,0.35481410114389006,1009300.7727830639,0.36470164326486976,-0.7362409757450061,-0.7362409757450172,11.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,sb_balanced,2012.398,4254,0.35850030362376645,992138.7527931784,0.35143735306433893,1009300.7727830639,0.36470164326486976,-1.70038708506709,-1.70038708506709,16.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,sb_hs_energy,2012.398,4254,0.3665120694097421,1014311.0724097078,0.35897294118756157,1009300.7727830639,0.36470164326486976,0.4964129387148297,0.4964129387148075,7.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,sb_hs_flux,2012.398,4254,0.36163937751271663,1000826.0448864569,0.35443156959351435,1009300.7727830639,0.36470164326486976,-0.8396632723502884,-0.8396632723502995,13.0
2020,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2020_sam.csv,idw6,sb_hy_energy,2012.398,4254,0.3714315909554069,1027925.6995699047,0.3635035268644145,1009300.7727830639,0.36470164326486976,1.8453296865595492,1.8453296865595492,2.0
