candidate_id,heliostat_count,annual_energy_proxy_gwh,energy_ratio_vs_baseline,capex_proxy_musd,lcoe_proxy_cent_kwh,flux_risk_index,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,terrain_slope_mean_pct,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,ellipse_axis_ratio,extent_x_ratio,extent_y_ratio,is_publishable_geometry,x_scale,y_scale,radial_scale,radial_wave,twist,az_wave,petal_amp,petal_order,petal_phase,petal_twist,north_bias,generation,best_strategy,best_aiming_objective,best_intercept_fraction_proxy,best_spillage_proxy,best_peak_to_mean_proxy,best_cv_active_proxy,searched_strategy_count,group_count,joint_loss,delta_energy_pct,delta_peak_to_mean_pct_vs_baseline_best,delta_spillage_pctpt_vs_baseline_best,is_joint_pareto
joint_g04_0424,11915,447.6584032155387,0.9987856993322654,843.621568,15.258528441274889,0.9768256859117227,16.815067340083143,34.82310336210617,1.2648112545479977,1.0091367741447856,0.9885006194302765,1.0,1.0,1.0226508691628584,1.0,0.9885006194302765,1,1.0174720586259358,0.9750123636925916,0.0055423940596493046,0.011884452380781469,0.032541394734524276,0.018743266187912135,0.008409613313577053,4.0,-0.3031265897756265,0.0021343425434503472,-0.00501238244469653,4,staggered_levels:9:0.380:5,1.6863954477494187,0.994651976097277,0.0053480239027230425,1.4815178354146108,0.22325526002099547,23,350,-4.564920091413326,-0.12143006677346468,-4.631706628138732,-0.003638460183286174,1
joint_g03_0380,11915,448.02872229312555,0.9996119306645197,843.6258079827835,15.245993097580357,0.9801091957271927,16.86295722052405,35.10599956958549,1.2660467233022357,1.0093000910097543,0.9914216947692132,1.0,1.0,1.002395698605099,1.0,0.9914216947692132,1,1.01314343761182,0.9936526686663787,-0.009133714891835754,0.011107994405519881,-0.025228918632144066,0.02,-0.008093412536967527,4.0,-0.24799417144391017,-0.0027653425817474662,0.006259361525641854,3,staggered_levels:9:0.380:2,1.6858343461641665,0.9948553837386024,0.0051446162613976165,1.4828305269333297,0.22265534053473796,23,347,-4.525862212081396,-0.03880693354803011,-4.547206025532812,-0.023979224315828773,1
joint_g02_0299,11915,447.43800466706296,0.9982939607280304,843.6508921334637,15.266575116346749,0.9742206297104768,17.046358159388387,35.73310333659083,1.2660240256653392,1.0091179442635114,0.9991997138565037,1.0,1.0,1.0256634497251413,1.0,0.9991997138565037,1,1.0197511839662368,0.9818794463133739,0.011837853274787485,0.006780140823146418,0.035,0.017999685105392228,0.0,0.0,0.0,0.0,0.010166732445718536,2,staggered_levels:9:0.380:8,1.6869335066350417,0.9948080999387612,0.005191900061238819,1.4827807180375745,0.22374598422506048,23,348,-4.456580164728888,-0.17060392719695505,-4.550412324687214,-0.01925084433170854,1
joint_g01_0226,11915,447.4549550768544,0.9983317793566453,843.646769351254,15.265922188238894,0.9760356714651242,16.999197204795855,35.63003378134749,1.2655033323178648,1.0090052118273631,0.9989475958133863,1.0,1.0,1.021355477966085,1.0,0.9989475958133863,1,1.0201622051672965,0.9805488738249192,0.011189966924203836,0.011535282425080137,0.032575400528922854,0.01911097313011305,0.0,0.0,0.0,0.0,0.004185899243117497,1,staggered_levels:9:0.380:0,1.6861263053924305,0.9948826663575474,0.005117333642452593,1.4848218909505408,0.2206441052596287,23,348,-4.327265768977013,-0.1668220643354701,-4.419017904361522,-0.026707486210331144,1
joint_g04_0474,11915,447.86953520112246,0.999256762996787,843.6349154060085,15.251576656644302,0.9715343489395538,16.943467134505646,35.33368515021198,1.2663341153350074,1.0093679761486467,0.9978032680277966,1.0,1.0,1.0043119396218254,1.0,0.9978032680277966,1,1.0115489551887153,0.9911109282050551,-0.0008630495454471565,0.009785746777762465,-0.028730867284194467,0.01899227081975217,-0.0062347379163919395,4.0,-0.1618510521418529,-0.006664247243924746,0.012,4,staggered_levels:9:0.380:0,1.6864326707477704,0.994883481706158,0.005116518293841965,1.4858247254607795,0.21972308964012943,23,345,-4.313585387632381,-0.07432370032129931,-4.354463422809096,-0.026789021071393915,1
joint_g02_0333,11915,448.20939489952616,1.0000150353850785,843.621568,15.239770864176549,0.9711424453756102,16.625108197957733,34.57121227539574,1.2671760742158316,1.0097747807827229,0.9727612859085426,1.0,1.0,1.0138214396669365,0.9923807188003086,0.9727612859085426,1,1.0094165212928008,0.9861410760647382,-0.01475516888612357,0.005837529696620979,-0.021152932689802825,0.019164705795324397,-0.0085281661963969,4.0,-0.05828154545152142,-0.006764802285204942,0.0060717829869053625,2,staggered_levels:9:0.380:2,1.6914471292404034,0.9948551086626772,0.005144891337322766,1.4864210185733555,0.22534916174105107,23,348,-4.273473493220861,0.0015035385078521202,-4.3160788315902865,-0.023951716723313865,1
joint_g04_0455,11915,448.01804043801,0.99958809801879,843.6248948845089,15.246340097767954,0.9733124798796764,16.875694961722004,35.083172112720604,1.2662281937248354,1.009398618800135,0.9929198477404083,1.0,1.0,1.0031660375164821,1.0,0.9929198477404083,1,1.012073244944536,0.9945266531260214,-0.008562341515551462,0.008954608616534,-0.026592182297515587,0.02,-0.005033589972016069,4.0,-0.18560007388815994,-0.005586067719264787,0.012,4,staggered_levels:9:0.380:2,1.6900677061672038,0.9948661269771926,0.005133873022807434,1.4873865470177008,0.2223253973198013,23,345,-4.231271207831694,-0.041190198120999444,-4.253925816798243,-0.025053548174847062,1
joint_g03_0404,11915,447.4253002224116,0.9982656154148528,843.6416815187243,15.266841925451853,0.9783838297130201,17.008430751651616,35.50283796810663,1.2645226303841277,1.0088622048616411,0.9963965654129929,1.0,1.0,1.024354608978256,1.0,0.9963965654129929,1,1.0217270514003591,0.9782262354549417,0.01320694551580759,0.011304474979981901,0.032280426284078366,0.015192039588266884,0.0,0.0,0.0,0.0,-0.005511934182583712,3,staggered_levels:9:0.380:0,1.687677675691348,0.9949168008413929,0.00508319915860711,1.4876207739670888,0.21929934348534597,23,350,-4.143457003117684,-0.17343845851471862,-4.238848155300778,-0.03012093459487941,1
joint_g04_0421,11915,447.81351921586923,0.9991317838506277,843.621568,15.25324311200014,0.9757704467889561,16.726362143883172,34.76212589356919,1.266048928794096,1.0092773467140794,0.9794485279384144,1.0,1.0,1.0249922370612798,1.0,0.9794485279384144,1,1.0204873992444212,0.9779469134921368,-0.003497042178027266,0.010049766868467822,0.035,0.014894921246034868,0.0,0.0,0.0,0.0,-0.004357897362711405,4,staggered_levels:9:0.380:0,1.6899005299714749,0.9949345726797908,0.005065427320209204,1.4883792098767714,0.22141777180431854,23,350,-4.138965384377042,-0.08682161493722695,-4.19002610496203,-0.03189811843467005,1
joint_g03_0366,11915,447.0846570758806,0.9975055950491303,843.6763069460317,15.279101123013161,0.9771889466711547,17.194902816289506,36.36847365079052,1.2656252721799555,1.0086301455295457,1.0,1.0,1.0,1.0212743359265575,1.0,1.0,1,1.029544356755128,0.9858585573857545,0.01692871024720452,0.012041995516504218,0.035,0.019714175259729474,-0.01036341622584091,4.0,-0.553952662079553,-0.0016191437881119784,0.0063373810735810185,3,staggered_levels:9:0.380:0,1.68986650596762,0.9949099553911682,0.0050900446088317786,1.4870590180579948,0.22290290086373682,23,348,-4.137817244723488,-0.2494404950869722,-4.2750095170213225,-0.02943638957241257,1
