candidate_id,strategy,aiming_objective,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy
joint_g00_0003,staggered_levels:9:0.340:8,1.8533611452113647,0.9989863606709043,0.0010136393290957058,11.377090469086795,6.902479839635862,1.648261310921408,0.2640058119817156
joint_g00_0003,staggered_levels:9:0.340:0,1.8545970786410348,0.9990104488739213,0.0009895511260786805,11.37938803060164,6.901002533643938,1.648947087778126,0.26496417730714417
joint_g00_0003,five_point,2.290892380562085,0.9905972280939479,0.009402771906052099,11.619254380451077,5.782495068436008,2.0093842265210506,0.2875850009315595
joint_g00_0003,balanced:0.240:0.000,3.0285179160375044,0.9999980687816594,1.931218340578411e-06,21.52815596895815,8.173597592293678,2.633865409431896,0.5261853174362988
joint_g00_0003,balanced:0.320:0.015,3.0466555819367613,0.9997883384347621,0.00021166156523788615,21.584047084148974,8.110199327541316,2.6613460671492994,0.5117705117743954
joint_g00_0003,balanced:0.400:0.030,3.1568169862061874,0.993217739643856,0.006782260356144043,22.007035433695016,8.031871734248611,2.739963505624109,0.4925035441187599
joint_g00_0003,equator,5.501865429911926,0.9999999999999972,2.7755575615628914e-15,41.349886232776605,8.871688573876655,4.660881171430477,1.121312344641906
joint_g00_0004,staggered_levels:9:0.380:1,1.7452488807394424,0.9948660087367974,0.005133991263202575,10.105425797618466,6.590951489031376,1.5332271545976113,0.23477838306588397
joint_g00_0004,staggered_levels:9:0.380:2,1.7485692985271977,0.9947684133929695,0.005231586607030492,10.155422488447586,6.611395334382493,1.5360482885714632,0.23453320494202803
joint_g00_0004,staggered_levels:9:0.380:0,1.7496111088970283,0.9948738527753058,0.0051261472246941775,10.172048799616029,6.603453972163302,1.5404133719256696,0.23108627519799918
joint_g00_0004,staggered_levels:9:0.420:1,1.7506817928274718,0.9810742021295561,0.018925797870443906,9.189523750687242,6.264391925029871,1.4669458521536265,0.201673807440984
joint_g00_0004,staggered_levels:9:0.380:3,1.750863199883029,0.9947440026088183,0.005255997391181655,10.15561367430472,6.604475005291168,1.5376867451490936,0.23517929732755186
joint_g00_0004,staggered_levels:9:0.420:3,1.757922708613124,0.9806252741645506,0.019374725835449413,9.241318802969852,6.280421447072977,1.4714488320328911,0.20113439430944918
joint_g00_0004,staggered_levels:9:0.380:8,1.7598243032550256,0.9947366090463458,0.005263390953654246,10.210692063664386,6.606138625548342,1.5456369662265221,0.2364581338038984
joint_g00_0004,staggered_levels:9:0.380:6,1.7648593287501688,0.9946696257056831,0.005330374294316931,10.210512731160119,6.589698755235029,1.5494657814287218,0.23744123634830455
joint_g00_0004,staggered_levels:9:0.380:5,1.7651590223811595,0.994644156043784,0.005355843956216022,10.210361349638966,6.592819790419697,1.5487093040941404,0.2386117474580091
joint_g00_0004,staggered_levels:9:0.380:4,1.767348615412553,0.9946804153431871,0.005319584656812926,10.209304719249285,6.586183796506202,1.5501092946517914,0.24000297088409484
joint_g00_0004,staggered_levels:9:0.420:5,1.7703352305151767,0.9802588959858298,0.019741104014170174,9.275381911954835,6.271562452401441,1.4789587096279655,0.20425172371736014
joint_g00_0004,staggered_levels:9:0.380:7,1.771020144558285,0.9946797942178228,0.005320205782177179,10.210659610849984,6.580758474248305,1.5515931257477593,0.24291410444704747
joint_g00_0004,staggered_levels:9:0.420:7,1.7743462420622973,0.9803900055918062,0.019609994408193776,9.267681570314336,6.260163209867918,1.4804217173931913,0.20887275174899947
joint_g00_0004,staggered_levels:9:0.340:0,1.828600542743763,0.9990089106624663,0.0009910893375336682,11.276765795813997,6.956096798642914,1.621134110441651,0.2673717425858352
joint_g00_0004,staggered_levels:9:0.340:2,1.8335214267203521,0.9989884388263721,0.001011561173627884,11.302360057508874,6.963447955523278,1.6230982308906396,0.27112302348575645
joint_g00_0004,staggered_levels:9:0.340:8,1.8453155908126833,0.9989822867564964,0.0010177132435036373,11.363570765914542,6.956866690182722,1.633432301060246,0.2730123960638822
joint_g00_0004,staggered_levels:9:0.340:6,1.8492938868536806,0.998969373441323,0.001030626558677028,11.368857715084545,6.943045242481785,1.6374454318002913,0.2728454255235335
joint_g00_0004,staggered_levels:9:0.340:4,1.8536062726663236,0.998971442742395,0.0010285572576049784,11.369394951847754,6.935879493095562,1.6392146033052637,0.27625569141043343
joint_g00_0004,five_point,2.3968937076922185,0.9906871890059826,0.009312810994017373,12.171083183165921,5.754789111825805,2.1149486013579457,0.28900723916820137
joint_g00_0004,balanced:0.400:0.030,3.1449791245899306,0.9935322950594614,0.00646770494053861,21.904899252819042,8.033279363724247,2.7267692633390355,0.4972479022228334
joint_g00_0004,balanced:0.240:0.000,3.1898944460774183,0.999998159716473,1.840283527010378e-06,22.84276252705313,8.176790803068196,2.793609751943487,0.5283624161989895
joint_g00_0004,balanced:0.320:0.015,3.2262178951819314,0.9997987791791106,0.00020122082088935844,23.034804153283865,8.112979114308924,2.8392534762794104,0.5140744975417272
joint_g00_0004,equator,5.712184045180999,0.9999999999999961,3.885780586188048e-15,43.22558142762675,8.873652926349697,4.871227417433849,1.121275503662831
joint_g00_0005,staggered_levels:9:0.380:2,1.795824030548399,0.994813762498915,0.005186237501085045,10.390348710447556,6.538748764929357,1.5890423510651293,0.2273040226342327
joint_g00_0005,staggered_levels:9:0.380:1,1.7995395580404496,0.994913756835865,0.005086243164134974,10.390114306964263,6.523529560245819,1.5927136086392997,0.2282963296696068
joint_g00_0005,staggered_levels:9:0.420:1,1.8100868481067154,0.9812500298723255,0.018749970127674542,9.469132978518466,6.187124932873758,1.5304576974365867,0.19783914636854266
joint_g00_0005,staggered_levels:9:0.380:3,1.8368473442588726,0.9946954350090408,0.005304564990959215,10.618017694641429,6.522747934048025,1.6278442463208713,0.22916152400171597
joint_g00_0005,staggered_levels:9:0.380:0,1.8450282461013696,0.9949125653626308,0.005087434637369159,10.702752113768355,6.529308996802579,1.63918603316362,0.22697356063488694
joint_g00_0005,staggered_levels:9:0.380:8,1.848368763249761,0.9947929054242387,0.005207094575761295,10.741324674932141,6.53838761658804,1.6428094057441855,0.22547959396699543
joint_g00_0005,staggered_levels:9:0.380:5,1.8561302091085858,0.9946234730355078,0.005376526964492201,10.740661401377535,6.5234353748046905,1.6464731823451393,0.2293617840160014
joint_g00_0005,staggered_levels:9:0.380:6,1.8572359582082605,0.9946634278185533,0.005336572181446675,10.740933101253345,6.515964251446466,1.6484027055349464,0.22863632987091645
