sectors,annuli,sigma_theta,sigma_z_fraction,strategy,group_count,objective,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy,layout_id,peak_to_mean_proxy_baseline,cv_active_proxy_baseline,intercept_fraction_proxy_baseline,delta_peak_to_mean_pct,delta_cv_pct,delta_intercept_pctpt
60,10,0.035,0.055,staggered_levels:11:0.380:10,544,1.5894784250769216,0.9966146979721913,0.0033853020278087342,7.438337267904371,5.211895009326862,1.4271847868372667,0.15907202590257075,baseline_full,1.4271847868372667,0.15907202590257075,0.9966146979721913,0.0,0.0,0.0
60,10,0.035,0.065,staggered_levels:11:0.380:10,544,1.6323964507545887,0.9926514482905298,0.007348551709470241,7.345115010116645,5.123472851416529,1.4336203632045947,0.16469138102850844,baseline_full,1.4336203632045947,0.16469138102850844,0.9926514482905298,0.0,0.0,0.0
60,10,0.035,0.08,staggered_levels:11:0.340:10,544,1.709273286672693,0.9946652974246494,0.005334702575350625,8.009853129826979,5.331425447770039,1.5023849078068303,0.19318912736830318,baseline_full,1.5023849078068303,0.19318912736830318,0.9946652974246494,0.0,0.0,0.0
60,10,0.042,0.055,staggered_levels:11:0.380:10,544,1.5094229506968142,0.9966146979721914,0.003385302027808623,7.038425509833988,5.162924365887432,1.3632633389592923,0.1400908182530034,baseline_full,1.3632633389592923,0.1400908182530034,0.9966146979721914,0.0,0.0,0.0
60,10,0.042,0.065,staggered_levels:11:0.380:10,544,1.5520556185791188,0.9926514482905298,0.007348551709470241,6.9537759526441985,5.079328236304722,1.3690345709382943,0.14615603995889717,baseline_full,1.3690345709382943,0.14615603995889717,0.9926514482905298,0.0,0.0,0.0
60,10,0.042,0.08,staggered_levels:11:0.340:10,544,1.6328180684880516,0.9946652974246493,0.005334702575350736,7.63511045586483,5.299366222000438,1.4407591655333232,0.17574268511990893,baseline_full,1.4407591655333232,0.17574268511990893,0.9946652974246493,0.0,0.0,0.0
36,6,0.03,0.055,staggered_levels:7:0.380:2,199,2.2989943313598067,0.9946390657353358,0.005360934264664219,13.15066833221632,7.18099577712183,1.8313154248208117,0.4997546263784487,deform_0276,1.8590649976056044,0.48914635517432387,0.9946444231413205,-1.492662861198124,2.168731524196721,-0.0005357405984729446
36,6,0.03,0.065,staggered_levels:7:0.380:3,199,2.2716885539884384,0.9884299390747565,0.011570060925243486,12.657019261010706,7.121337357502617,1.7773374052664455,0.4726948956706412,deform_0276,1.7725350745236046,0.46243172236578706,0.9886470770089761,0.27093008267446983,2.219392141254506,-0.021713793421962446
36,6,0.03,0.08,staggered_levels:7:0.380:2,199,2.3377611442204387,0.977603316145092,0.022396683854908006,12.48326131753111,7.024051930784498,1.7772165468794998,0.4486719135313823,deform_0276,1.7649103786211384,0.4364846229939041,0.9776249180706899,0.6972687342898354,2.7921465947377433,-0.002160192559785834
36,6,0.035,0.055,staggered_levels:7:0.380:2,199,2.288395977781652,0.9946390657353357,0.00536093426466433,12.422088530931813,6.8001281719649285,1.826743293184486,0.49266495350570744,deform_0276,1.8542911420759465,0.4815937225426541,0.9946444231413204,-1.4856269474824546,2.2988736033769275,-0.0005357405984729446
36,6,0.035,0.065,staggered_levels:7:0.380:2,199,2.2669268450970574,0.988672263607391,0.011327736392608978,11.964190254257817,6.735763212974236,1.776218948910308,0.47068941770103273,deform_0276,1.7707302263106048,0.45870857583996477,0.9886470770089761,0.3099694418804422,2.6118634994188206,0.0025186598414883576
36,6,0.035,0.08,staggered_levels:7:0.380:2,199,2.3376365129204544,0.9776033161450919,0.022396683854908117,11.783503009820532,6.630792733320763,1.7770881226020834,0.44867637585777176,deform_0276,1.764881394956818,0.43612582626676105,0.9776249180706899,0.6916457774525986,2.8777359273683523,-0.0021601925597969363
36,6,0.042,0.055,staggered_levels:7:0.380:2,199,2.1998292164852984,0.9946390657353357,0.00536093426466433,10.992611716128621,6.170996329195602,1.7813349951484292,0.44189029084653475,deform_0276,1.8084828673596764,0.43126171158555165,0.9946444231413206,-1.5011406909749891,2.4645311594916786,-0.0005357405984951491
36,6,0.042,0.065,staggered_levels:7:0.380:2,199,2.2067345169509553,0.988672263607391,0.011327736392608978,10.585032892284513,6.063608606923178,1.745665589332227,0.43582004291512544,deform_0276,1.7413555473384594,0.42421171129395135,0.9886470770089761,0.24751073957038905,2.7364477010231036,0.0025186598414883576
36,6,0.042,0.08,staggered_levels:7:0.380:2,199,2.296265347908997,0.9776033161450919,0.022396683854908117,10.425152154276367,5.936594699645824,1.7560828524976329,0.42471649949658746,deform_0276,1.7452800600884888,0.4132744436039086,0.9776249180706899,0.6189718576510961,2.768633790393582,-0.0021601925597969363
36,8,0.03,0.055,staggered_levels:9:0.420:5,260,2.212889832558252,0.9796542571383963,0.020345742861603733,11.964371797512811,7.05747184771616,1.695277296980583,0.4174665796292222,deform_0276,1.681061480205146,0.4033731435713099,0.9796645292750995,0.845645262997885,3.49389548672836,-0.0010272136703237678
36,8,0.03,0.065,staggered_levels:9:0.420:0,260,2.266309210912013,0.9707857259910988,0.029214274008901198,11.775895104304732,6.980162956145092,1.687051602991252,0.40652166570535453,deform_0276,1.666358942758077,0.39312911371186565,0.9703831758026342,1.2417888908691888,3.40665484350382,0.04025501884645788
36,8,0.03,0.08,staggered_levels:9:0.380:0,260,2.3250599016059894,0.9817290434305599,0.01827095656944011,12.6619162760267,7.033845065682017,1.8001414813362786,0.4455891384872822,deform_0276,1.792725562643363,0.435647858048405,0.9814876326311384,0.41366725880680466,2.2819532462323266,0.024141079942152643
