resolution_tag,layout_id,flux_bins,flux_map_count,active_mean,active_p95,active_p99,active_peak,p95_to_active_mean,p99_to_active_mean,peak_to_active_mean,active_cv,opteff_mean,flux_peak_to_active_mean,delta_opteff_mean_pct,delta_peak_to_active_mean_pct,delta_p95_to_active_mean_pct,delta_p99_to_active_mean_pct,delta_active_cv_pct,label
baseline,sb_ta_energy,24,86,0.002349219272704814,0.00270201382227235,0.0027760928263887595,0.003239078214392,1.1501752321150251,1.1817086887732098,1.3787892224562892,0.0977597615738854,0.361002083088576,1.378789222456288,1.040062834184896,1.0880089043331376,0.1500409428270011,0.2872246797048561,0.8691865671841326,sb_ta_energy
baseline,sb_ta_flux,24,86,0.0023476140622753815,0.0026947844307868996,0.0027627966599538096,0.0032287035137414,1.1478822154332426,1.1768530033748477,1.3753127337344533,0.0970654181831749,0.3582774110872593,1.3753127337344635,0.277460502751703,0.8331248965783633,-0.04962055930848308,-0.12485929424395081,0.1527583364715035,sb_ta_flux
highres,baseline_full,36,86,0.0010424965195221375,0.00119684514356774,0.001228439123369744,0.001424174173735,1.1480567283968997,1.1783628054056614,1.366118876241253,0.09692122634438256,0.3581494617728284,1.3661188762412662,0.0,0.0,0.0,0.0,0.0,L0
highres,deform_0276,36,86,0.0010458947648593197,0.001201521907933,0.0012369389040394758,0.001500213635154,1.1487980897338301,1.1826609574872984,1.434382966201948,0.09851424030656902,0.3694411051701368,1.4343829662019454,3.152774079685927,4.996936295069521,0.06457532268162591,0.36475625859195837,1.6436172160328777,L_opt
highres,deform_0893,36,86,0.0010430603685801121,0.00120094066951419,0.001228272158186854,0.0014478117227554,1.1513625727617238,1.1775657432549806,1.3880421175681943,0.09834708516123102,0.3590181041727634,1.3880421175681583,0.24253628516854864,1.6047828419779142,0.2879513078974938,-0.06764148927853597,1.4711522652241849,L_nom
highres,deform_1387,36,86,0.0010434030549164874,0.00119643659563729,0.001221632815431732,0.0014571918873116,1.1466677138807604,1.170815831595883,1.3965762132335637,0.09691454207106281,0.3606832512962981,1.3965762132335326,0.7074670755967238,2.2294792585042966,-0.12098831719569159,-0.6404626635495569,-0.006896604151496177,L_rob
highres,joint_g02_0333,36,86,0.001043502267866173,0.00119673634180793,0.0012230468005873059,0.0014515792718157,1.1468459424195605,1.1720595520010495,1.3910647983391466,0.09697910445067452,0.3614338952464933,1.3910647983390962,0.9170566548968084,1.8260432918202563,-0.1054639502901411,-0.5349161884350195,0.059716646677898666,J_bal
highres,joint_g04_0478,36,86,0.001042195952078598,0.00119809925090514,0.001223250969778732,0.0014360927743837,1.149591157512752,1.1737245451193998,1.377948908283033,0.09763177556701859,0.3556692255067338,1.3779489082829897,-0.6925143078025386,0.8659591963423585,0.13365446827657834,-0.3936190335424583,0.7331203384811635,J_flux
highres,sb_hs_flux,36,86,0.001042454257448089,0.0011972844135015798,0.001227793220896238,0.001421416294761,1.148524652230317,1.1777909794352566,1.3635286964442965,0.09710961707450776,0.3552854534441894,1.3635286964442332,-0.7996684720569691,-0.18960134743787327,0.04075790175199767,-0.04852715715242262,0.19437509948110332,"B_hs,R"
highres,sb_hy_energy,36,86,0.001044060781013771,0.00120085045928132,0.00123602984240271,0.0014558904804289,1.1501729411915156,1.1838677066315422,1.3944499275370223,0.09795250282842899,0.3643927076883999,1.3944499275369884,1.7431956716247976,2.073834992582757,0.18432998494515296,0.467165222852195,1.064035735971891,"B_hy,E"
highres,sb_pf_flux,36,86,0.0010424913936235623,0.0011991899576969198,0.001229417931754052,0.0014177202247083,1.1503116141119343,1.179307512056054,1.3599347039024388,0.09772426404365443,0.3552045168848544,1.3599347039023917,-0.8222670148369526,-0.45268186000251287,0.19640891074983458,0.08017111929017329,0.8285467792354284,"B_pf,R"
