layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id
baseline_full,staggered_levels:9:0.380:2,f267f54661b9776e332606a1b612b4aa1c0699d9f77f38f9fdcfb7c6b0e4b561,067c29255e664e4b6d0476d25d10240ba4dc164ff14b86c870338547fe107c25,11915,6000,60000,116627,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,5.10391902923584,39221.0,0.6536833333333333,2339896.662083026,792573.164465896,2.952278435593829,0.2675024550217315,8343007907.596214,d20_h12
baseline_full,staggered_levels:9:0.380:3,f267f54661b9776e332606a1b612b4aa1c0699d9f77f38f9fdcfb7c6b0e4b561,067c29255e664e4b6d0476d25d10240ba4dc164ff14b86c870338547fe107c25,11915,6000,60000,116613,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,6.000395774841309,39246.0,0.6541,2124499.3449458973,792575.8335315059,2.680499776885319,0.2734220229659798,8337810129.174669,d20_h12
baseline_full,staggered_levels:9:0.380:5,f267f54661b9776e332606a1b612b4aa1c0699d9f77f38f9fdcfb7c6b0e4b561,067c29255e664e4b6d0476d25d10240ba4dc164ff14b86c870338547fe107c25,11915,6000,60000,116572,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,6.104705572128296,39330.0,0.6555,2335469.6520783533,794271.5061457569,2.9403920876015546,0.2698108833267015,8350365583.294693,d20_h12
joint_g02_0333,visible_equator,3f25b15176fb7d169f770dab18b1652fd75f2c558423516aa10633a196b74c5c,96a17d314cdc89ac55b0b201e93c274017ac17e24f5171bbf83c8915403f84ef,11915,6000,60000,116567,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,4.897233724594116,43143.0,0.71905,3004884.6710243635,867037.6388333875,3.4656911493109828,0.315687621145276,9259981383.00029,d20_h12
joint_g02_0333,five_point,3f25b15176fb7d169f770dab18b1652fd75f2c558423516aa10633a196b74c5c,96a17d314cdc89ac55b0b201e93c274017ac17e24f5171bbf83c8915403f84ef,11915,6000,60000,116654,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,5.73309850692749,38811.0,0.64685,2116795.2172418595,785579.7240219832,2.69456447577894,0.2666402808236818,8215493917.637383,d20_h12
joint_g02_0333,staggered_levels:9:0.380:2,3f25b15176fb7d169f770dab18b1652fd75f2c558423516aa10633a196b74c5c,96a17d314cdc89ac55b0b201e93c274017ac17e24f5171bbf83c8915403f84ef,11915,6000,60000,116533,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,5.503395795822144,39476.0,0.6579333333333334,2132909.520810693,800342.207330746,2.664996924158538,0.2683176637575007,8419873624.35229,d20_h12
joint_g02_0333,staggered_levels:9:0.380:3,3f25b15176fb7d169f770dab18b1652fd75f2c558423516aa10633a196b74c5c,96a17d314cdc89ac55b0b201e93c274017ac17e24f5171bbf83c8915403f84ef,11915,6000,60000,116547,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,5.379260301589966,39163.0,0.6527166666666666,1924997.011943547,802473.6951882578,2.398828800851782,0.2715682250811115,8376517553.193902,d20_h12
joint_g02_0333,staggered_levels:9:0.380:5,3f25b15176fb7d169f770dab18b1652fd75f2c558423516aa10633a196b74c5c,96a17d314cdc89ac55b0b201e93c274017ac17e24f5171bbf83c8915403f84ef,11915,6000,60000,116530,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,5.370280027389526,39476.0,0.6579333333333334,2129645.7368425345,796963.6996569111,2.6721991701244816,0.2741726250282899,8406989510.759588,d20_h12
joint_g02_0303,visible_equator,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,3410091bd5c92c2600fa9f10f9caabdc55ccbbbf9c83c29b078189256c5aabd9,11915,6000,60000,116572,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,4.810149908065796,43060.0,0.7176666666666667,2346971.661929777,858309.3502052355,2.734412320416384,0.3122941839404334,9187327251.154202,d20_h12
joint_g02_0303,five_point,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,3410091bd5c92c2600fa9f10f9caabdc55ccbbbf9c83c29b078189256c5aabd9,11915,6000,60000,116630,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,5.080055236816406,38857.0,0.6476166666666666,2132116.640602458,791825.7527256061,2.6926588750913067,0.270924778906478,8284765630.38897,d20_h12
